ctau,m,lam121,BrP,BrD,Br,Br_charged
10.630813432057664,0.5512820512820513,0.289426612471675,4.5827302524577465e-05,1.0,4.5827302524577465e-05,0.0
8.39464613769974,0.5512820512820513,0.3257020655659783,5.803407887048213e-05,1.0,5.803407887048213e-05,0.0
6.628851519930888,0.5512820512820513,0.3665241237079628,7.349207074369377e-05,1.0,7.349207074369377e-05,0.0
5.234487761902342,0.5512820512820513,0.41246263829013524,9.306707933843533e-05,1.0,9.306707933843533e-05,0.0
4.133425231674381,0.5512820512820513,0.46415888336127786,0.00011785538229744312,1.0,0.00011785538229744312,0.0
3.2639686867150526,0.5512820512820513,0.5223345074266842,0.00014924503402898232,1.0,0.00014924503402898232,0.0
2.5774003376712447,0.5512820512820513,0.5878016072274912,0.00018899343847511837,1.0,0.00018899343847511837,0.0
2.035250070769989,0.5512820512820513,0.6614740641230149,0.00023932549477250127,1.0,0.00023932549477250127,0.0
1.60713987269509,0.5512820512820513,0.7443803013251689,0.0003030577411793375,1.0,0.0003030577411793375,0.0
1.2690816757614518,0.5512820512820513,0.8376776400682918,0.00038375533482451176,1.0,0.00038375533482451176,0.0
1.002133247464426,0.5512820512820513,0.9426684551178852,0.0004859304733325046,1.0,0.0004859304733325046,0.0
0.7913368105886736,0.5512820512820513,1.0608183551394483,0.0006152930721960674,1.0,0.0006152930721960674,0.0
0.6248809221499095,0.5512820512820513,1.1937766417144364,0.0007790672569165501,1.0,0.0007790672569165501,0.0
0.49343864918459573,0.5512820512820513,1.3433993325989002,0.0009863906242132201,1.0,0.0009863906242132201,0.0
0.3896449577487774,0.5512820512820513,1.5117750706156623,0.0012488173969005428,1.0,0.0012488173969005428,0.0
0.3076840319458829,0.5512820512820513,1.7012542798525891,0.001580951672024811,1.0,0.001580951672024811,0.0
0.24296339945328685,0.5512820512820513,1.9144819761699576,0.0020012430608056905,1.0,0.0020012430608056905,0.0
0.19185660399913118,0.5512820512820513,2.1544346900318834,0.0025329842222017057,1.0,0.0025329842222017057,0.0
0.15150000609518358,0.5512820512820513,2.424462017082328,0.0032055580907689434,1.0,0.0032055580907689434,0.0
0.11963232627084651,0.5512820512820513,2.728333376486768,0.004055991811320251,1.0,0.004055991811320251,0.0
0.09446794002095595,0.5512820512820513,3.07029062975785,0.005130884022806514,1.0,0.005130884022806514,0.0
0.074596824871554,0.5512820512820513,3.455107294592218,0.006488781154832219,1.0,0.006488781154832219,0.0
0.0589055533515695,0.5512820512820513,3.8881551803080874,0.0082030849145004,1.0,0.0082030849145004,0.0
0.04651490491222994,0.5512820512820513,4.3754793750741845,0.01036557387536877,1.0,0.01036557387536877,0.0
0.03673060103655137,0.5512820512820513,4.923882631706739,0.013090611663190305,1.0,0.013090611663190305,0.0
0.02900440310588676,0.5512820512820513,5.541020330009492,0.016520084223350752,1.0,0.016520084223350752,0.0
0.022903393241281947,0.5512820512820513,6.235507341273912,0.020829046346104028,1.0,0.020829046346104028,0.0
0.018085716849602498,0.5512820512820513,7.017038286703826,0.026231944822404825,1.0,0.026231944822404825,0.0
0.01428142766960969,0.5512820512820513,7.896522868499725,0.03298909790442874,1.0,0.03298909790442874,0.0
