,nev,E,ctau,m,lam121,Br,cos
18,953.7330547968611,1166.760716081662,13.743893840812635,0.5,6.158482110660261,0.0210057415054879,0.3000000000000001
18,1291.6006583123171,1166.760716081662,13.743893840812635,0.5,6.158482110660261,0.0210057415054879,0.5000000000000001
18,1462.1405148090657,1166.760716081662,13.743893840812635,0.5,6.158482110660261,0.0210057415054879,0.7000000000000001
18,1496.8915282022017,1166.760716081662,13.743893840812635,0.5,6.158482110660261,0.0210057415054879,0.9
19,6.833784598473495e-05,1166.760716081662,5.212633135251539,0.5,10.0,0.0535440140416426,-0.9
19,0.0012631627037715672,1166.760716081662,5.212633135251539,0.5,10.0,0.0535440140416426,-0.7
19,0.02468088092894471,1166.760716081662,5.212633135251539,0.5,10.0,0.0535440140416426,-0.5
19,0.5901052480353192,1166.760716081662,5.212633135251539,0.5,10.0,0.0535440140416426,-0.2999999999999999
19,22.21418311712284,1166.760716081662,5.212633135251539,0.5,10.0,0.0535440140416426,-0.0999999999999999
19,817.1786197430594,1166.760716081662,5.212633135251539,0.5,10.0,0.0535440140416426,0.0999999999999999
19,3062.73958433642,1166.760716081662,5.212633135251539,0.5,10.0,0.0535440140416426,0.3000000000000001
19,5143.872034809699,1166.760716081662,5.212633135251539,0.5,10.0,0.0535440140416426,0.5000000000000001
19,6652.187278983849,1166.760716081662,5.212633135251539,0.5,10.0,0.0535440140416426,0.7000000000000001
19,7432.306571887303,1166.760716081662,5.212633135251539,0.5,10.0,0.0535440140416426,0.9
20,2.5421254299758755e-10,1166.760716081662,2879269.617081622,0.53,0.001,5.563591079836824e-10,-0.9
20,2.6962223783279e-10,1166.760716081662,2879269.617081622,0.53,0.001,5.563591079836824e-10,-0.7
20,2.7705589393671333e-10,1166.760716081662,2879269.617081622,0.53,0.001,5.563591079836824e-10,-0.5
20,2.8179966735958797e-10,1166.760716081662,2879269.617081622,0.53,0.001,5.563591079836824e-10,-0.2999999999999999
20,2.8409571619157913e-10,1166.760716081662,2879269.617081622,0.53,0.001,5.563591079836824e-10,-0.0999999999999999
20,2.854428779286967e-10,1166.760716081662,2879269.617081622,0.53,0.001,5.563591079836824e-10,0.0999999999999999
20,2.821689639955602e-10,1166.760716081662,2879269.617081622,0.53,0.001,5.563591079836824e-10,0.3000000000000001
20,2.773354014622435e-10,1166.760716081662,2879269.617081622,0.53,0.001,5.563591079836824e-10,0.5000000000000001
20,2.7020240856108757e-10,1166.760716081662,2879269.617081622,0.53,0.001,5.563591079836824e-10,0.7000000000000001
20,2.54318578466171e-10,1166.760716081662,2879269.617081622,0.53,0.001,5.563591079836824e-10,0.9
21,1.7655150533968972e-09,1166.760716081662,1092017.763317888,0.53,0.0016237767391887,1.466924740746264e-09,-0.9
21,1.87302454063664e-09,1166.760716081662,1092017.763317888,0.53,0.0016237767391887,1.466924740746264e-09,-0.7
21,1.9251662244602733e-09,1166.760716081662,1092017.763317888,0.53,0.0016237767391887,1.466924740746264e-09,-0.5
21,1.9586334934717287e-09,1166.760716081662,1092017.763317888,0.53,0.0016237767391887,1.466924740746264e-09,-0.2999999999999999
21,1.9750732849764067e-09,1166.760716081662,1092017.763317888,0.53,0.0016237767391887,1.466924740746264e-09,-0.0999999999999999
21,1.9846986614908675e-09,1166.760716081662,1092017.763317888,0.53,0.0016237767391887,1.466924740746264e-09,0.0999999999999999
